antibody     n.抗体(身体中的抗病物质)
antic     adj.古怪的
anticipate     v.预期,期待
anticlimax     n.令人扫兴的结局
antidote     n.解毒药
antigen     n.抗原(注射于动物体内,能使之产生抗体的物质)
antihistamine     n.(治疗过敏的)抗组胺剂
antipathy     n.反感,厌恶
antiquated     adj.陈旧的,过时的
antiseptic     n.杀菌剂adj.防腐的
antithesis     n.对立;相对
antitoxic     adj.抗毒素的
anvil     n.铁砧
aorta     n.主动脉
apathy     n.漠然,冷淡
aperture     n.孔隙,窄的缺口
apex     n.顶点,最高点
aphasia     n.失语症
aphorism     n.格言
apiary     n.养蜂场,蜂房
aplomb     n.沉着,镇静
apocalyptic     adj.预示世界末日的;启示的
apocrypha     n.伪经,伪书
apogee     n.远地点(太阳等距离地球最远的点)
apolitical     adj.不关心政治的
apologize     v.道歉;辩解
apologist     n.辩解者
apophasis      n.表面否认要说的话(实际承认)
apoplectic     adj.中风的,愤怒的
apostasy     n.背教,脱党
apostate     n.背教者,变节者
apostrophe     n.书写中撇号(')(表示省略或所有格)
apothecary     n.药剂师;药房
apothegm     n.格言,警句
apotheosis     n.神化;典范
appall     v.使惊骇,使恐怖
appalling     adj.骇人的,可怕的
apparatus     n.仪器,设备
apparel     n.(精致的)衣服
apparition     n.幽灵,神奇的现象
appeal     v.恳求;吸引
appealing     adj.吸引人的,打动人心的
appease     v.使平静,安抚
appellation     n.名称,称呼
appendage     n.附加物
appendix     n.附录
appetizer     n.开胃品
applaud     v.鼓掌表示欢迎或赞赏
applicable     adj.生效的,适合的
applicant     n.申请人
appoint     v.任命,指定;约会
apposite     adj.适当的,恰当的
apposition     n.同位语,同格
appraise     v.评价,鉴定
appreciable     adj.明显的
appreciate     v.欣赏;感激
apprehend     v.逮捕;恐惧
apprentice     n.学徒
apprise     v.通知,告诉
approach     v.接近,靠近;着手处理n.方法
approbation     n.称赞,认可
approbatory     adj.表示赞许的
appropriate     v.拨款,盗用adj.恰当的
approve     v.赞成,认可
approximate     adj.大约的,估计的
apron     n.围裙
apropos     adj.|adv.适宜的/地;有关
apt     adj.易于...的,恰当的
aquatic     adj.水生的,水中的
aqueduct     n.高架渠,渡槽
aquifer     n.含水土层
aquiline     adj.鹰的,似鹰的
arabesque     n.蔓藤图饰
arable     adj.可耕的,适合种植的
arachnid     n.蜘蛛类节支动物
arbiter     n.权威人士,泰斗
arbitrary     adj.专横的,不理智的
arbitrate     v.仲裁,公断
arbor     n.树阴处,凉亭
arboreal     adj.树木的
arcade     n.拱廊
arcane     adj.神秘的,秘密的
archaeology     n.考古学
archaic     adj.古代的;已不用的
archaism     n.古字,古语
